icao	lat	lon	type	size	fuel	name
00AL	34.8648	-86.7703	civil	701	0	Epps Airpark, Harvest, Alabama, United States
00AZ	34.3056	-112.165	civil	518	0	Cordes, Cordes, Arizona, United States
00B	38.9147	-76.5047	water	999	0	South River, Edgewater, Maryland, United States
00C	37.2032	-107.869	civil	1528	0	Animas, Durango, Colorado, United States
00CA	35.3505	-116.888	civil	1829	0	Goldstone (GTS), Barstow, California, United States
00CL	38.6382	-121.515	civil	823	0	Natomas Field, Sacramento, California, United States
00CO	40.6222	-104.344	civil	1189	0	Cass Field, Briggsdale, Colorado, United States
00FA	28.6455	-82.219	civil	975	0	Grass Patch, Bushnell, Florida, United States
00FL	27.2309	-80.9692	civil	1247	0	River Oak, Okeechobee, Florida, United States
00GA	33.7675	-84.0683	civil	792	0	Lt World, Lithonia, Georgia, United States
00IL	41.9784	-89.5604	civil	762	0	Hammer, Polo, Illinois, United States
00IS	40.0256	-89.1229	civil	488	0	Hayenga's Cant Find Farms, Kings, Illinois, United States
00KS	38.7278	-94.9305	civil	792	0	Hayden Farm, Gardner, Kansas, United States
00M	31.9538	-89.2345	civil	914	0	Thigpen, Bay Springs, Mississippi, United States
00MD	38.7571	-75.7538	civil	518	0	Slater Fld, Federalsburg, Maryland, United States
00MN	46.3	-95.7003	civil	899	0	Battle Lake Muni, Battle Lake, Minnesota, United States
00MO	37.2028	-94.4124	civil	732	0	Cooper Flying Service, Alba, Missouri, United States
00MT	48.5375	-109.705	civil	610	0	Sands Ranch, Havre, Montana, United States
00N	39.4732	-75.1852	civil	579	0	Bucks, Bridgeton, New Jersey, United States
00NC	36.0852	-78.3714	civil	808	0	North Raleigh, Louisburg, North Carolina, United States
00NY	42.9001	-77.4997	civil	716	0	Weiss Airfield, West Bloomfield, New York, United States
00OH	41.5909	-84.1422	civil	821	0	Exit 3, Wauseon, Ohio, United States
00PS	40.3778	-77.3653	civil	945	0	Thomas Field, Loysville, Pennsylvania, United States
00Q	39.0749	-121.918	civil	549	0	Thayer Aviation, Grimes, California, United States
00R	30.6859	-95.0179	civil	1128	0	Livingston Mun, Livingston, Texas, United States
00S	44.1832	-122.089	civil	792	0	McKenzie Bridge State, McKenzie Bridge, Oregon, United States
00TN	35.5159	-85.9536	civil	549	0	Ragsdale Road, Manchester, Tennessee, United States
00TS	32.6076	-97.242	civil	366	0	Alpine Range, Everman, Texas, United States
00UT	37.2478	-112.822	civil	1036	0	Clear Creek Ranch, Kanab, Utah, United States
00V	38.9458	-104.57	civil	3530	1	Meadow Lake, Colorado Springs, Colorado, United States
00VI	36.6633	-80.4995	civil	457	0	Groundhog Mountain, Hillsville, Virginia, United States
00W	46.6735	-117.443	civil	1036	0	Lower Granite State, Colfax, Washington, United States
00WA	47.1784	-122.772	civil	337	0	Howell, Longbranch, Washington, United States
00WI	44.3043	-89.0501	civil	305	0	Northern Lite, Waupaca, Wisconsin, United States
00WV	38.8289	-79.8661	civil	549	0	Lazy J. Aerodrome, Beverly, West Virginia, United States
00WY	41.2589	-105.589	civil	1951	0	Evans, Laramie, Wyoming, United States
00XS	33.0334	-101.934	civil	450	0	L P Askew Farms, O'Donnell, Texas, United States
00Y	45.5505	-96.4514	civil	760	0	Kapaun-Wilson, Graceville, Minnesota, United States
01A	62.9436	-152.27	civil	305	0	Purkeypile, Purkeypile, Alaska, United States
01AL	32.946	-86.5139	civil	762	0	Ware Island, Clanton, Alabama, United States
01C	43.3417	-85.775	civil	767	0	Grant, Grant, Michigan, United States
01CL	38.7999	-120.734	civil	945	0	Swansboro Country, Placerville, California, United States
01FA	28.5894	-81.1442	civil	1067	0	Rybolt Ranch, Orlando, Florida, United States
01FL	28.7819	-81.1592	civil	914	0	Cedar Knoll Flying Ranch, Geneva, Florida, United States
01G	42.7413	-78.0521	civil	1625	0	Perry-Warsaw, Perry, New York, United States
01IA	41.6611	-90.7413	civil	785	0	Stender, Maysville, Iowa, United States
01ID	43.6721	-116.771	civil	762	0	Frank Field, Caldwell, Idaho, United States
01II	39.885	-86.5067	civil	640	0	Myers Field, Lizton, Indiana, United States
01IS	39.0162	-90.3182	civil	396	0	William E. Koenig, Dow, Illinois, United States
01J	30.688	-81.9059	civil	951	0	Hilliard, Hilliard, Florida, United States
01K	37.0361	-97.5864	civil	750	0	Caldwell Mun, Caldwell, Kansas, United States
01KS	38.5406	-97.0033	civil	732	0	Flying N Ranch, Lost Springs, Kansas, United States
01LA	32.639	-91.7737	civil	610	0	Barham, Oak Ridge, Louisiana, United States
01LL	38.1258	-89.4639	civil	610	0	Schumaier Rla, Pinckneyville, Illinois, United States
01LS	30.706	-91.0774	civil	549	0	Country Breeze, Country Breeze, Louisiana, United States
01M	34.4917	-88.2011	civil	914	0	Tishomingo Co, Belmont, Mississippi, United States
01MD	38.9992	-76.456	water	999	0	Annapolis, Annapolis, Maryland, United States
01ME	46.7789	-68.5003	water	3048	1	Saint Peter's, Portage Lake, Maine, United States
01MN	47.8996	-92.5574	water	6001	1	Barnes, Cook, Minnesota, United States
01MT	48.7891	-114.88	civil	1524	0	Crystal Lakes Resort, Fortine, Montana, United States
01NC	34.4753	-77.5814	civil	610	0	Topsail Airpark, Holly Ridge, North Carolina, United States
01NE	40.8436	-100.653	civil	838	0	Detour, Wellfleet, Nebraska, United States
01NH	43.6445	-72.087	civil	183	0	Moore Airfield, Enfield, New Hampshire, United States
01NV	38.7639	-119.027	civil	610	0	Lantana Ranch, Yerington, Nevada, United States
01OH	41.2828	-83.148	civil	762	0	Gillmor, Fremont, Ohio, United States
01OK	35.2945	-98.6365	civil	805	0	Lawrence, Eakly, Oklahoma, United States
01OR	43.1193	-121.045	civil	1463	0	Red &amp; White Flying Service, Silver Lake, Oregon, United States
01PN	40.9306	-77.7389	civil	518	0	Bierly(Personal Use), Bellefonte, Pennsylvania, United States
01PS	41.6009	-76.0271	civil	366	0	Nort's Resort, Meshoppen, Pennsylvania, United States
01SC	35.0321	-81.2528	civil	786	0	York, York, South Carolina, United States
01TE	32.7376	-96.428	civil	742	0	Smith Field, Forney, Texas, United States
01TN	34.9959	-89.7306	civil	823	0	Colonial Air Park, Collierville, Tennessee, United States
01TX	32.3876	-96.8775	civil	366	0	Mims Farm, Waxahachie, Texas, United States
01U	38.8516	-115.634	civil	1859	0	Duckwater, Duckwater, Nevada, United States
01UT	38.3083	-109.396	civil	975	0	La Sal Junction, La Sal, Utah, United States
01V	39.733	-104.655	civil	2176	0	Aurora, Aurora, Colorado, United States
01VA	39.125	-77.925	civil	457	0	Oehda, Berryville, Virginia, United States
01WI	44.01	-90.3892	civil	701	0	Prehn Cranberry Company, Tomah, Wisconsin, United States
01WY	44.3472	-104.811	civil	2121	0	Keyhole, Moorcroft, Wyoming, United States
02A	32.8505	-86.6115	civil	1217	0	Gragg-Wade, Clanton, Alabama, United States
02AK	61.8769	-150.098	civil	671	0	Rustic Wilderness, Willow, Alaska, United States
02AL	30.3715	-87.7644	civil	610	0	Bass Field, Foley, Alabama, United States
02AR	36.0906	-94.2096	civil	610	0	Mount Comfort Airpark, Fayetteville, Arkansas, United States
02AZ	32.3764	-109.937	civil	1372	0	Westchester Farm Airstrip, Wilcox, Arizona, United States
02C	43.0875	-88.1779	civil	2605	0	Capitol, Brookfield, Wisconsin, United States
02CL	34.7611	-119.059	civil	914	0	Conover Air Lodge, Frazier Park, California, United States
02CO	37.6433	-106.047	civil	814	0	McCullough, Monte Vista, Colorado, United States
02FA	28.5267	-81.8748	civil	757	0	Klinger Aero, Groveland, Florida, United States
02G	40.6733	-80.6414	civil	1067	0	Columbiana Co, East Liverpool, Ohio, United States
02GA	34.2026	-83.429	civil	823	0	Doug Bolton Field, Commerce, Georgia, United States
02ID	44.5555	-115.305	civil	610	0	Morgan Ranch, Cascade, Idaho, United States
02II	40.0623	-86.2105	civil	335	0	King, Westfield, Indiana, United States
02IN	40.2089	-85.5408	civil	311	0	Diamond P. Field, Muncie, Indiana, United States
02K	38.694	-90.5195	civil	1678	0	Arrowhead, St Louis, Missouri, United States
02KS	39.2222	-96.0553	civil	564	0	Jmj Landing, St Marys, Kansas, United States
02MD	39.2708	-76.5722	water	999	1	Hale Sea Port Base, Baltimore, Maryland, United States
02ME	43.5373	-70.9294	civil	732	0	Old Acton Airfield, Acton, Maine, United States
02MO	39.05	-91.0335	civil	671	0	Troy Airpark, Troy, Missouri, United States
02MS	34.1001	-90.8468	civil	655	0	Watts Field, Rochdale, Mississippi, United States
02MT	47.2374	-111.742	civil	671	0	Barrett Field, Cascade, Montana, United States
02NC	35.1772	-81.6447	civil	732	0	Oakridge Farm, Boiling Springs, North Carolina, United States
02ND	48.8083	-98.5237	civil	762	0	Dresden Field, Dresden, North Dakota, United States
02NE	41.0745	-96.9045	civil	536	0	Benes Service, Valparaiso, Nebraska, United States
02NV	41.3033	-118.598	civil	671	0	Paiute Meadows, Winnemucca, Nevada, United States
02OH	41.3764	-83.0833	civil	838	0	Zimmerman, Fremont, Ohio, United States
02OI	41.802	-80.5654	civil	457	0	Murtha, Conneaut, Ohio, United States
02OR	45.6815	-121.316	civil	610	0	Rowena Dell, The Dalles, Oregon, United States
02PR	18.4533	-66.3669	civil	610	0	Cuylers, Vega Baja, Puerto Rico
02PS	41.9006	-77.2303	civil	152	0	Hughes, Tioga, Pennsylvania, United States
02SC	32.7585	-81.2248	civil	1097	0	Harpers, Estill, South Carolina, United States
02T	45.7691	-112.982	civil	1234	0	Wise River, Wise River, Montana, United States
02TN	35.7806	-86.5842	civil	488	0	Ellis Field, Murfreesboro, Tennessee, United States
02TX	32.2335	-97.4003	civil	533	0	Grand Valley Lands, Rio Vista, Texas, United States
02UT	41.3663	-113.843	civil	2438	0	Lucin, Lucin, Utah, United States
02VA	38.4357	-77.8572	civil	914	0	The Greenhouse, Culpeper, Virginia, United States
02WA	47.1523	-122.094	civil	808	0	Cawleys South Prairie, South Prairie, Washington, United States
02WI	45.0319	-92.6558	civil	671	0	Beer, Hudson, Wisconsin, United States
02XS	30.1477	-97.6628	civil	860	0	Seidel Ranch, Encinal, Texas, United States
02Y	48.6833	-96.192	civil	2118	0	Greenbush Mun, Greenbush, Minnesota, United States
03AZ	31.4334	-110.084	civil	1097	0	Thompson Intl Aviation, Hereford, Arizona, United States
03B	37.1278	-92.621	civil	914	0	Mansfield Mun, Mansfield, Missouri, United States
03CL	38.4582	-122.205	civil	671	0	Moskowite, Napa, California, United States
03CO	40.2167	-104.751	civil	1219	0	Kugel-Strong, Platteville, Colorado, United States
03D	40.4473	-92.227	civil	1006	0	Memphis Meml, Memphis, Missouri, United States
03FA	27.3531	-81.4081	civil	610	0	Lake Persimmon Airstrip, Lake Placid, Florida, United States
03FD	30.8288	-85.731	civil	610	0	Tharpe, Bonifay, Florida, United States
03GA	31.585	-83.7292	civil	488	0	Young's, Sumner, Georgia, United States
03I	39.6442	-83.0182	civil	716	0	Clarks Dream Strip, Circleville, Ohio, United States
03IA	41.5819	-92.4613	civil	610	0	East Field, Montezuma, Iowa, United States
03ID	44.7943	-116.533	civil	549	0	Flying Y Ranch, Council, Idaho, United States
03II	37.962	-87.7789	civil	305	0	Davis Field, Mount Vernon, Indiana, United States
03IL	41.4023	-87.8167	civil	792	0	Wix, Monee, Illinois, United States
03IN	40.18	-86.0125	civil	762	0	Heinzman, Arcadia, Indiana, United States
03KY	37.7917	-87.5414	civil	701	0	Flying H Farms, Henderson, Kentucky, United States
03M	44.3209	-69.8895	water	999	0	Lakeside Marina, East Winthrop, Maine, United States
03MA	42.3931	-72.552	civil	488	0	Hadley, Hadley, Massachusetts, United States
03ME	44.0842	-70.6273	civil	732	0	Maple Ridge, Harrison, Maine, United States
03MN	43.6252	-95.2244	civil	591	0	Nauerth Land Ranch, Lakefield, Minnesota, United States
03MO	37.8845	-93.1316	civil	671	0	Cahoochie, Urbana, Missouri, United States
03MT	47.2708	-111.722	civil	1341	0	Cascade, Cascade, Montana, United States
03N	11.2333	169.85	civil	732	1	Utirik, Utirik Island, United States
03NC	34.1043	-77.9042	civil	838	0	Pilots Ridge, Carolina Beach, North Carolina, United States
03ND	48.6264	-97.829	civil	792	0	Olafson Brothers, Edinburg, North Dakota, United States
03NE	41.5464	-99.3312	civil	671	0	Hyde Ranch, Comstock, Nebraska, United States
03NY	40.9584	-72.7168	civil	610	0	Talmage Fld, Riverhead, New York, United States
03OH	41.4184	-83.0174	civil	1311	0	Gibbs Field, Fremont, Ohio, United States
03OK	36.0412	-96.1614	civil	366	0	Sahoma Lake, Sapulpa, Oklahoma, United States
03OR	45.8554	-117.484	civil	899	0	Powwatka Ridge, Troy, Oregon, United States
03PN	39.8168	-77.2664	civil	488	0	Browns, Gettysburg, Pennsylvania, United States
03PS	40.85	-77.9056	civil	832	0	Ziggy's Field, Bellefonte, Pennsylvania, United States
03Q	38.3041	-121.251	civil	884	0	Bottimore Ranch, Herald, California, United States
03S	45.4018	-122.229	civil	645	0	Sandy River, Sandy, Oregon, United States
03TA	30.2627	-96.5002	civil	579	0	Gay Hill Farm, Gay Hill, Texas, United States
03TE	27.4911	-98.6695	civil	1067	0	Barronena Ranch, Hebbronville, Texas, United States
03UT	37.1208	-109.986	civil	2515	1	A Z Minerals Corporation, Mexican Hat, Utah, United States
03VA	38.6646	-77.5797	civil	686	0	Whipoorwill Springs, Nokesville, Virginia, United States
03WA	47.4082	-117.372	civil	853	0	Spangle Field, Spangle, Washington, United States
03WI	44.0275	-88.8809	civil	457	0	Zink, Berlin, Wisconsin, United States
03WY	43.875	-107.338	civil	701	0	Otter Creek Ranch, Ten Sleep, Wyoming, United States
04A	31.7363	-86.2625	civil	1414	0	Sikes, Luverne, Alabama, United States
04AZ	36.1542	-109.551	civil	1280	0	Chinle, Chinle, Arizona, United States
04CA	34.5639	-117.675	civil	1524	0	Gray Butte Fld, Gray Butte Fld, California, United States
04CL	33.0817	-116.441	civil	579	0	Hunt's Sky Ranch, Julian, California, United States
04F	32.0988	-98.5253	civil	732	0	De Leon Muni, De Leon, Texas, United States
04FA	25.5587	-80.5151	civil	799	0	Richards Field, Homestead, Florida, United States
04FD	29.92	-82.9026	civil	427	0	Hall Farm, Branford, Florida, United States
04FL	29.2394	-81.222	civil	914	0	Cross Creek Farms, Ormond, Florida, United States
04G	41.1305	-80.6196	civil	937	0	Lansdowne, Youngstown, Ohio, United States
04I	39.9112	-83.1888	civil	810	0	Columbus Southwest, Columbus, Ohio, United States
04IA	41.0883	-92.0546	civil	704	0	Middlekoop, Packwood, Iowa, United States
04ID	43.8777	-116.537	civil	914	0	Lanham Field, Emmett, Idaho, United States
04II	41.1306	-84.9941	civil	418	0	Turkey Run, New Haven, Indiana, United States
04IL	40.6375	-89.007	civil	518	0	Schertz, Hudson, Illinois, United States
04IS	40.1786	-88.569	civil	671	0	Van Gorder, Mansfield, Illinois, United States
04KY	37.1351	-85.7894	civil	518	0	Natchez Trace Farm, Hiseville, Kentucky, United States
04LA	32.2732	-93.406	civil	792	0	Loggy Bayou Plantation, Ringgold, Louisiana, United States
04LL	42.1361	-88.2876	civil	1128	0	Brunner, West Dundee, Illinois, United States
04M	33.9301	-89.3428	civil	975	0	Calhoun Co, Pittsboro, Mississippi, United States
04MA	42.8098	-71.1392	civil	640	0	Goddard, Haverhill, Massachusetts, United States
04ME	44.6667	-69.8939	civil	594	0	Beech Hill, Mercer, Maine, United States
04MI	42.5345	-84.6283	civil	610	0	Rapids Airway, Eaton Rapids, Michigan, United States
04MN	47.9858	-94.6869	civil	762	0	Helblad, Kelliher, Minnesota, United States
04MO	39.3012	-91.4515	civil	792	0	Airpark Pvt, Vandalia, Missouri, United States
04MS	32.9396	-90.8373	civil	1036	0	Nick's Flying Service Inc, Rolling Fork, Mississippi, United States
04MT	47.1375	-106.488	civil	1219	0	Pluhar, Cohagen, Montana, United States
04ND	46.7275	-97.4401	civil	619	0	Hahn Field, Embden, North Dakota, United States
04NE	41.16	-101.299	civil	762	0	McConnell Field, Sarben, Nebraska, United States
04NJ	39.5968	-75.2335	civil	1067	0	Emmanuel, Elmer, New Jersey, United States
04NV	35.7555	-115.665	civil	988	0	Kingston Ranch, Sandy Valley, Nevada, United States
04NY	42.2623	-73.6962	civil	1585	0	Klaverack, Hudson, New York, United States
04OH	41.2477	-81.1007	civil	671	0	Bossow, Garrettsville, Ohio, United States
04OI	41.4201	-83.7972	civil	762	0	Herr Ii, Grand Rapids, Ohio, United States
04OR	44.7499	-120.201	civil	457	0	Collins Landing Strip, Mitchell, Oregon, United States
04PS	40.5154	-75.1696	civil	764	0	Schneiders Field, Revere, Pennsylvania, United States
04Q	36.8716	-121.337	civil	914	0	Christensen Ranch, Hollister, California, United States
04TN	36.1833	-82.6789	civil	686	0	Hensley Airpark, Chuckey, Tennessee, United States
04TX	31.7322	-97.3689	civil	610	0	Pocock, China Spring, Texas, United States
04UT	37.0083	-110.795	civil	1128	0	Navajo Mountain, Navajo Mountain Trdng Post, Utah, United States
04V	38.0972	-106.169	civil	2361	0	Saguache Mun, Saguache, Colorado, United States
04WA	47.5818	-117.437	civil	549	0	Ox Meadows, Spokane, Washington, United States
04WI	42.5234	-88.0167	civil	549	0	Dutch Gap Airstrip, Bristol, Wisconsin, United States
04WY	44.8333	-105.351	civil	2652	0	Thrush Ranch, Weston, Wyoming, United States
04Y	46.8839	-96.3509	civil	1040	0	Hawley Mun, Hawley, Minnesota, United States
05A	32.3001	-110.365	civil	838	0	Cascabel, Tucson, Arizona, United States
05AK	61.6661	-149.182	civil	488	0	Wasilla Creek Airpark, Palmer, Alaska, United States
05AR	36.1042	-94.1544	civil	579	0	Razorback, Fayetteville, Arkansas, United States
05B	47.1589	-67.932	water	999	0	Van Buren, Van Buren, Maine, United States
05C	41.5196	-87.4011	civil	1221	0	Griffith-Merrillville, Griffith, Indiana, United States
05CL	38.6107	-122.391	civil	1128	0	Pope Valley, Pope Valley, California, United States
05CO	40.2192	-104.984	civil	808	0	Rancho De Aereo, Mead, Colorado, United States
05D	47.967	-102.478	civil	914	0	New Town Mun, New Town, North Dakota, United States
05F	31.4213	-97.797	civil	1036	0	City-Co, Gatesville, Texas, United States
05FL	26.5231	-81.4083	civil	1463	0	Charlton Strip, La Belle, Florida, United States
05IA	43.1375	-93.0683	civil	747	0	Spotts Field, Nora Springs, Iowa, United States
05ID	45.9141	-114.836	civil	610	0	Running Creek Ranch, Grangeville, Idaho, United States
05II	41.0287	-84.9972	civil	549	0	Reichhart, New Haven, Indiana, United States
05IL	41.1567	-88.0167	civil	792	0	Classic Landings, Bonfield, Illinois, United States
05IN	39.642	-86.5042	civil	610	0	Cooper, Belleville, Indiana, United States
05IS	39.7259	-89.264	civil	610	0	Hardy, Mount Auburn, Illinois, United States
05KS	37.2662	-95.9592	civil	716	0	Darbro Field, Elk City, Kansas, United States
05KY	37.6454	-84.283	civil	732	0	Berea-Richmond, Berea, Kentucky, United States
05LA	32.2653	-91.6978	civil	671	0	Greg's Flying Service, Baskin, Louisiana, United States
05MD	39.2501	-76.2052	civil	823	0	Breezecroft, Chestertown, Maryland, United States
05MN	44.6344	-93.0724	civil	805	0	Sowieja, Farmington, Minnesota, United States
05MT	45.3541	-111.735	civil	1118	0	Sportsmans Field, Ennis, Montana, United States
05ND	47.2078	-97.4712	civil	518	0	Klessig Strip, Galesburg, North Dakota, United States
05NE	41.7222	-98.309	civil	978	0	McKay, Spalding, Nebraska, United States
05OI	41.2884	-81.9626	civil	610	0	Dorlon Airpark, Columbia Station, Ohio, United States
05OK	35.8534	-97.5675	civil	671	0	Hawk Haven, Crescent, Oklahoma, United States
05OR	45.4415	-117.351	civil	792	0	Peacock Ranch, Enterprise, Oregon, United States
05Q	38.2638	-120.923	civil	686	0	Camanche Skypark, Ione, California, United States
05S	45.8515	-123.242	civil	896	0	Vernonia, Vernonia, Oregon, United States
05TA	29.8091	-96.2651	civil	518	0	Brandes Air Field, Sealy, Texas, United States
05TE	30.7221	-97.7914	civil	457	0	Hilde-Griff Field, Geronimo, Texas, United States
05TN	35.557	-89.5529	civil	1219	0	Thurmond Glenn Fld, Covington, Tennessee, United States
05TS	33.1293	-97.3586	civil	518	0	Dew Drop, Justin, Texas, United States
05TX	32.1292	-97.4042	civil	632	0	Circle 'a' Ranch, Blum, Texas, United States
05U	39.6042	-116.005	civil	2225	0	Eureka, Eureka, Nevada, United States
05UT	37.0333	-110.317	civil	1204	0	Oljato, Oljato, Utah, United States
05V	37.4111	-105.552	civil	1875	0	Blanca, Blanca, Colorado, United States
05VA	37.2242	-78.4186	civil	610	0	Providence, Farmville, Virginia, United States
05W	35.5816	-76.5155	civil	534	0	Riverside Campground, Belhaven, North Carolina, United States
05WI	42.6511	-88.7459	civil	549	0	Ames Private, Darien, Wisconsin, United States
05XS	33.0793	-91.5432	civil	792	0	Johnson Memorial, Wilmot, Arkansas, United States
05Y	46.3038	-95.4395	civil	1000	0	Henning Mun, Henning, Minnesota, United States
06A	32.4605	-85.68	civil	1525	0	Moton Mun, Tuskegee, Alabama, United States
06AR	35.5445	-92.1849	civil	884	0	Bondair, Higden, Arkansas, United States
06AZ	35.7917	-110.423	civil	1280	0	Polacca, Polacca, Arizona, United States
06B	44.907	-68.805	water	999	1	Lucky Landing Marina And Spb, Bangor, Maine, United States
06C	41.9893	-88.1012	civil	1158	0	Schaumburg Regl, Chicago/Schaumburg, Illinois, United States
06D	48.8843	-99.6209	civil	2041	0	Rolla Mun, Rolla, North Dakota, United States
06FA	26.9084	-80.3289	civil	2135	0	William P Gwinn, Jupiter, Florida, United States
06I	38.4334	-86.6911	water	3499	1	Patoka Reservoir Landing Area, French Lick, Indiana, United States
06IA	41.8414	-91.8343	civil	533	0	Rich Field, Walford, Iowa, United States
06ID	43.4627	-116.359	civil	671	0	Larkin, Kuna, Idaho, United States
06II	40.0231	-86.0375	civil	792	0	Bill Shank, Noblesville, Indiana, United States
06IL	41.5995	-88.8699	civil	786	0	Humm, Earlville, Illinois, United States
06IN	39.2828	-87.3036	civil	488	0	Ellis Fly-In, Blackhawk, Indiana, United States
06IS	40.5464	-91.2743	civil	792	0	Sinele Strip, Nauvoo, Illinois, United States
06M	33.5346	-89.3126	civil	914	0	Eupora, Eupora, Mississippi, United States
06MN	47.6519	-92.4167	civil	457	0	Pike Field, Virginia, Minnesota, United States
06MO	39.2306	-94.8044	civil	914	0	Noahs Ark, Waldron, Missouri, United States
06MT	48.5583	-112.109	civil	671	0	Torgerson, Ethridge, Montana, United States
06N	41.4316	-74.3919	civil	1400	0	Randall, Middletown, New York, United States
06NC	34.8275	-78.9303	civil	792	0	Tailwinds, St. Pauls, North Carolina, United States
06ND	46.7489	-101.669	civil	853	0	Fitterer's Strip, Glen Ullin, North Dakota, United States
06NH	42.9284	-70.9731	civil	579	0	Cole Farm, Kensington, New Hampshire, United States
06NY	42.8428	-76.4453	civil	610	0	Murphy Field, Auburn, New York, United States
06OH	41.5098	-80.5912	civil	732	0	Hal Joy Airfield, Williamsfield, Ohio, United States
06OI	39.7348	-84.3822	civil	688	0	Green Acres, New Lebanon, Ohio, United States
06OR	45.4651	-123.08	civil	305	0	Hayden Mountain, Forest Grove, Oregon, United States
06PA	42.0084	-78.2581	civil	523	0	Ceres, Ceres, Pennsylvania, United States
06R	29.9419	-96.2461	civil	1213	0	Grawunder, Bellville, Texas, United States
06SN	37.5839	-97.2531	civil	732	0	Beyer Farm, Derby, Kansas, United States
06TA	30.9085	-97.1169	civil	579	0	Glaser Field, Buckholts, Texas, United States
06TE	30.3127	-95.0269	civil	1067	0	Ainsworth, Cleveland, Texas, United States
06TN	35.6973	-86.9569	civil	610	0	Hunter, Columbia, Tennessee, United States
06TS	32.1207	-96.1791	civil	1036	0	Roscoe McConnico, Kerens, Texas, United States
06TX	30.0576	-95.8129	civil	512	0	Diamond N Ranch, Hockley, Texas, United States
06U	41.976	-114.658	civil	1890	0	Jackpot/Hayden, Jackpot, Nevada, United States
06VA	38.249	-78.8553	civil	610	0	Mount Horeb Field, Grottoes, Virginia, United States
06VT	43.1338	-73.0774	civil	640	0	Meadowlands, Manchester, Vermont, United States
06WI	45.6627	-92.4502	civil	457	0	Young Private, Wausaukee, Wisconsin, United States
06Y	45.83	-96.1606	civil	913	0	Herman Mun, Herman, Minnesota, United States
07A	32.1696	-85.8097	civil	1116	0	Franklin, Union Springs, Alabama, United States
07AR	35.1945	-92.8002	civil	914	0	Morrilton, Morrilton, Arkansas, United States
07B	44.4404	-68.5661	civil	975	0	Blue Hill, Blue Hill, Maine, United States
07C	41.3072	-85.0643	civil	1522	0	De Kalb Co, Auburn, Indiana, United States
07CL	39.4977	-121.771	civil	677	0	Richvale, Richvale, California, United States
07D	43.0634	-82.7249	civil	671	0	Tackaberry, Avoca, Michigan, United States
07F	32.5288	-94.9717	civil	1709	0	Gladewater Mun, Gladewater, Texas, United States
07FA	25.3254	-80.2748	civil	1372	0	Ocean Reef Club, Key Largo, Florida, United States
07FD	30.418	-83.2838	civil	607	0	Flying G Ranch, Lee, Florida, United States
07GA	33.675	-83.7631	civil	518	0	Alcovy, Covington, Georgia, United States
07I	39.0586	-86.4461	water	999	1	Lake Monroe, Bloomington, Indiana, United States
07IA	42.8333	-94.8669	civil	728	0	Laurens Skyways, Laurens, Iowa, United States
07ID	42.2782	-113.305	civil	914	0	Interstate, Malta, Idaho, United States
07IN	39.5737	-85.9139	civil	567	0	Gray, Boggstown, Indiana, United States
07K	41.1167	-98.0503	civil	884	0	Central City Mun, Central City, Nebraska, United States
07KS	37.7342	-96.9367	civil	610	0	Heape Field, Augusta, Kansas, United States
07KY	38.0806	-85.6933	civil	610	0	Blue Lick, Louisville, Kentucky, United States
07L	42.0751	-72.5912	water	999	0	Agawam-Springfield Seaplane Harbor, Agawam, Massachusetts, United States
07MD	39.6083	-77.0519	civil	305	0	Baugher's Orchard, Westminster, Maryland, United States
07MI	43.8642	-85.0239	civil	885	0	Scott Airstrip, Lake, Michigan, United States
07MN	44.055	-95.9095	civil	792	0	Dairyview, Hadley, Minnesota, United States
07MO	38.65	-93.6169	civil	823	0	Lake Sexton, Warrensburg, Missouri, United States
07MT	48.4211	-106.528	civil	4115	1	Glasgow Industrial, Glasgow, Montana, United States
07N	40.0168	-77.0039	civil	671	0	Bermudian Valley, Kralltown, Pennsylvania, United States
07NC	34.8332	-80.7512	civil	610	0	Hawks Meadow, Waxhaw, North Carolina, United States
07ND	47.1561	-102.064	civil	482	0	Backfisch Strip, Golden Valley, North Dakota, United States
07OK	34.6334	-99.0337	civil	732	0	Pleasant Valley, Snyder, Oklahoma, United States
07OR	45.4218	-122.62	civil	366	0	Bruce's, Milwaukie, Oregon, United States
07PA	40.7584	-75.533	civil	610	0	Dieters, Cherryville, Pennsylvania, United States
07R	27.6103	-97.7519	civil	975	0	Bishop Mun, Bishop, Texas, United States
07TA	29.2405	-95.3447	civil	671	0	Salaika Aviation, Danbury, Texas, United States
07TE	27.7211	-97.5128	civil	1524	0	Cuddihy Field, Corpus Christi, Texas, United States
07TN	35.5686	-84.2411	civil	549	0	Corntassel, Vonore, Tennessee, United States
07TS	30.625	-97.5728	civil	762	0	Cross-Country Estates, Geronimo, Texas, United States
07V	37.5238	-105.009	civil	1765	0	Cuchara Valley Apt At La Veta, La Veta, Colorado, United States
07VA	36.8196	-78.7831	civil	488	0	Alpha Hotel, Clover, Virginia, United States
07WI	42.9653	-88.3915	civil	457	0	Bartell Strip, Genessee Depot, Wisconsin, United States
07Y	46.9555	-93.5969	civil	884	0	Hill City-Quadna Mtn, Hill City, Minnesota, United States
08A	32.5294	-86.3282	civil	1709	0	Wetumpka Mun, Wetumpka, Alabama, United States
08AR	34.5807	-91.9682	civil	579	0	Capps, England, Arkansas, United States
