icao	lat	lon	type	size	fuel	name
ID52	43.993	-111.551	civil	792	0	Bowman Field, Chester, Idaho, United States
ID54	48.4791	-116.445	water	999	1	Bottle Bay, Sandpoint, Idaho, United States
ID56	43.9819	-114.044	civil	1524	0	Star 's' Ranch, Mackay, Idaho, United States
ID59	43.7016	-116.312	civil	914	0	Floating Feather, Eagle, Idaho, United States
ID60	46.7132	-116.997	civil	762	0	Fountains, Moscow, Idaho, United States
ID61	48.2966	-117.015	civil	549	0	Valenov Ranch, Priest River, Idaho, United States
ID62	42.6083	-111.729	civil	1143	0	Western, Grace, Idaho, United States
ID63	43.671	-117.025	civil	549	0	Richards, Homedale, Idaho, United States
ID65	47.581	-116.772	civil	579	0	Pisch's Place, Coeur d'Alene, Idaho, United States
ID67	44.8082	-114.809	civil	335	0	Lower Loon Creek, Challis, Idaho, United States
ID68	43.4846	-116.459	civil	762	0	Green Acres, Kuna, Idaho, United States
ID72	43.4174	-111.285	civil	792	0	Huskey, Irwin, Idaho, United States
ID74	44.5366	-115.351	civil	1006	0	Sulphur Creek Ranch, Cascade, Idaho, United States
ID75	48.126	-116.165	civil	792	0	Riverlake, Clark Fork, Idaho, United States
ID76	45.3967	-115.483	civil	457	0	Wilson Bar USFS, Dixie, Idaho, United States
ID77	44.7053	-116.807	civil	747	0	Cuddy Meadows, Cambridge, Idaho, United States
ID78	48.1416	-116.182	civil	792	0	Cx Ranch Nr 2, Clark Fork, Idaho, United States
ID79	43.5083	-116.668	civil	671	0	Sky Ranch, Nampa, Idaho, United States
ID84	46.6171	-115.8	civil	853	0	Cptpa Headquarters, Headquarters, Idaho, United States
ID85	46.7874	-116.168	civil	914	0	Elk River, Elk River, Idaho, United States
ID86	44.2978	-115.641	civil	549	0	Deadwood Dam Airstrip, Cascade, Idaho, United States
ID87	43.4069	-111.974	civil	1341	0	Rainbow Ranch, Idaho Falls, Idaho, United States
ID88	43.2874	-115.08	civil	1006	0	Tracy Ranch, Hill City, Idaho, United States
ID90	45.8388	-116.659	civil	610	0	Spencer Ranch Landing Strip, Keuterville, Idaho, United States
ID92	43.7288	-116.523	civil	1280	0	Snake River Skydiving, Star, Idaho, United States
ID93	44.8943	-115.713	civil	640	0	Reed Ranch, Yellow Pine, Idaho, United States
ID94	46.7767	-116.691	civil	488	0	Friendly Persuasion Farm, Troy, Idaho, United States
ID95	43.861	-116.241	civil	518	0	Loomis, Horseshoe Bend, Idaho, United States
ID96	44.7852	-116.067	civil	792	0	Bear Air, Donnelly, Idaho, United States
ID97	47.1071	-116.811	civil	640	0	Gopher Gultch Field, De Smet, Idaho, United States
IDA	47.3341	-116.908	civil	610	0	Poverty Flats, Plummer, Idaho, United States
IDB	47.4857	-117.024	civil	274	0	Milhorn's Minefield, Worley, Idaho, United States
IG02	40.2731	-86.9075	civil	549	0	Ratcliff, Lafayette, Indiana, United States
IG03	39.3917	-86.6	civil	549	0	Bluebird, Paragon, Indiana, United States
IG04	39.0461	-85.1567	civil	322	0	Litzinger, Versailles, Indiana, United States
IG05	40.3944	-86.1278	civil	610	0	Camel-Lot, Kokomo, Indiana, United States
IG07	39.0569	-85.0356	civil	390	0	Josephs Field, Moores Hill, Indiana, United States
IGG	59.3237	-155.903	civil	914	0	Igiugig, Igiugig, Alaska, United States
IGT	60.4703	-164.686	civil	488	0	Nightmute, Nightmute, Alaska, United States
II01	40.7562	-85.2505	civil	585	0	Grandlienard-Hogg, Bluffton, Indiana, United States
II02	41.3856	-84.8269	civil	579	0	Kline Field, Butler, Indiana, United States
II03	39.1986	-85.1364	civil	549	0	Buell, Milan, Indiana, United States
II04	40.8839	-87.3692	civil	792	0	North West Indiana Air, Brook, Indiana, United States
II05	41.0742	-86.0642	civil	701	0	Woodcock, Akron, Indiana, United States
II06	39.97	-85.4708	civil	835	0	Ferrell, Cadiz, Indiana, United States
II07	39.5323	-86.8322	civil	792	0	Clover Knoll, Cloverdale, Indiana, United States
II08	40.6609	-87.4397	civil	805	0	Rheude, Earl Park, Indiana, United States
II09	39.5737	-86.6181	civil	732	0	Patrum Field, Eminence, Indiana, United States
II10	40.582	-86.1675	civil	390	0	Rockey's Air Strip, Galveston, Indiana, United States
II11	41.2106	-84.9861	civil	405	0	Pelz Port, Grabill, Indiana, United States
II12	40.9645	-86.3719	civil	762	0	Dague Strip, Grass Creek, Indiana, United States
II13	40.4056	-87.1386	civil	805	0	Reitsma, Green Hill, Indiana, United States
II14	40.9612	-85.5625	civil	579	0	Beck Pvt, Huntington, Indiana, United States
II15	40.9937	-86.3417	civil	792	0	Friedrich, Kewanna, Indiana, United States
II16	41.637	-84.9494	civil	549	0	Pigeon, Angola, Indiana, United States
II17	41.2681	-86.5595	civil	402	0	Bickel's Cow Patch, Knox, Indiana, United States
II18	41.3356	-86.9286	civil	774	0	Lou Abbett Farms, La Crosse, Indiana, United States
II19	40.4061	-86.7536	civil	457	0	Etter, Lafayette, Indiana, United States
